1.0858 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
10.5771 	EXP 	window1: blendMode = 'avg'
10.5936 	EXP 	window1: blendMode = 'avg'
10.5938 	EXP 	window1: blendMode = 'avg'
10.6102 	EXP 	window1: blendMode = 'avg'
10.6104 	EXP 	window1: blendMode = 'avg'
10.6269 	EXP 	window1: blendMode = 'avg'
10.6271 	EXP 	window1: blendMode = 'avg'
10.6437 	EXP 	window1: blendMode = 'avg'
10.6439 	EXP 	window1: blendMode = 'avg'
10.6603 	EXP 	window1: blendMode = 'avg'
10.6605 	EXP 	window1: blendMode = 'avg'
10.6769 	EXP 	window1: blendMode = 'avg'
10.6771 	EXP 	window1: blendMode = 'avg'
10.6937 	EXP 	window1: blendMode = 'avg'
10.6939 	EXP 	window1: blendMode = 'avg'
10.7104 	EXP 	window1: blendMode = 'avg'
10.7105 	EXP 	window1: blendMode = 'avg'
10.7270 	EXP 	window1: blendMode = 'avg'
10.7272 	EXP 	window1: blendMode = 'avg'
10.7436 	EXP 	window1: blendMode = 'avg'
10.7438 	EXP 	window1: blendMode = 'avg'
10.7602 	EXP 	window1: blendMode = 'avg'
10.7604 	EXP 	window1: blendMode = 'avg'
10.7769 	EXP 	window1: blendMode = 'avg'
10.7771 	EXP 	window1: blendMode = 'avg'
10.7936 	EXP 	window1: blendMode = 'avg'
10.7938 	EXP 	window1: blendMode = 'avg'
10.8103 	EXP 	window1: blendMode = 'avg'
10.8105 	EXP 	window1: blendMode = 'avg'
10.8269 	DATA 	Keypress: 1
10.8275 	EXP 	New trial (rep=0, index=1): {'question_text': u'How much did you recognise the content?'}
10.8554 	EXP 	window1: blendMode = 'avg'
10.8557 	EXP 	window1: blendMode = 'avg'
10.8601 	EXP 	rating_text: autoDraw = False
10.8601 	EXP 	question_text_display: autoDraw = False
10.8601 	EXP 	question_text_display: text = u'How much did you recognise the content?'
10.8601 	EXP 	rating_text: autoDraw = True
10.8601 	EXP 	question_text_display: autoDraw = True
10.8604 	EXP 	window1: blendMode = 'avg'
10.8605 	EXP 	window1: blendMode = 'avg'
10.8770 	EXP 	window1: blendMode = 'avg'
10.8771 	EXP 	window1: blendMode = 'avg'
10.8936 	EXP 	window1: blendMode = 'avg'
10.8938 	EXP 	window1: blendMode = 'avg'
10.9103 	EXP 	window1: blendMode = 'avg'
10.9105 	EXP 	window1: blendMode = 'avg'
10.9271 	EXP 	window1: blendMode = 'avg'
10.9272 	EXP 	window1: blendMode = 'avg'
10.9436 	EXP 	window1: blendMode = 'avg'
10.9438 	EXP 	window1: blendMode = 'avg'
10.9603 	EXP 	window1: blendMode = 'avg'
10.9605 	EXP 	window1: blendMode = 'avg'
10.9771 	EXP 	window1: blendMode = 'avg'
10.9774 	EXP 	window1: blendMode = 'avg'
10.9937 	EXP 	window1: blendMode = 'avg'
10.9938 	EXP 	window1: blendMode = 'avg'
11.0103 	EXP 	window1: blendMode = 'avg'
11.0105 	EXP 	window1: blendMode = 'avg'
11.0270 	EXP 	window1: blendMode = 'avg'
11.0271 	EXP 	window1: blendMode = 'avg'
11.0437 	EXP 	window1: blendMode = 'avg'
11.0438 	EXP 	window1: blendMode = 'avg'
11.0603 	EXP 	window1: blendMode = 'avg'
11.0605 	EXP 	window1: blendMode = 'avg'
11.0770 	EXP 	window1: blendMode = 'avg'
11.0771 	EXP 	window1: blendMode = 'avg'
11.0937 	EXP 	window1: blendMode = 'avg'
11.0939 	EXP 	window1: blendMode = 'avg'
11.1103 	EXP 	window1: blendMode = 'avg'
11.1105 	EXP 	window1: blendMode = 'avg'
11.1270 	EXP 	window1: blendMode = 'avg'
11.1271 	EXP 	window1: blendMode = 'avg'
11.1437 	EXP 	window1: blendMode = 'avg'
11.1438 	EXP 	window1: blendMode = 'avg'
11.1603 	EXP 	window1: blendMode = 'avg'
11.1605 	EXP 	window1: blendMode = 'avg'
11.1770 	EXP 	window1: blendMode = 'avg'
11.1771 	EXP 	window1: blendMode = 'avg'
11.1936 	EXP 	window1: blendMode = 'avg'
11.1938 	EXP 	window1: blendMode = 'avg'
11.2103 	EXP 	window1: blendMode = 'avg'
11.2105 	EXP 	window1: blendMode = 'avg'
11.2270 	EXP 	window1: blendMode = 'avg'
11.2271 	EXP 	window1: blendMode = 'avg'
11.2436 	EXP 	window1: blendMode = 'avg'
11.2438 	EXP 	window1: blendMode = 'avg'
11.2603 	EXP 	window1: blendMode = 'avg'
11.2605 	EXP 	window1: blendMode = 'avg'
11.2770 	EXP 	window1: blendMode = 'avg'
11.2771 	EXP 	window1: blendMode = 'avg'
11.2938 	EXP 	window1: blendMode = 'avg'
11.2940 	EXP 	window1: blendMode = 'avg'
11.3103 	EXP 	window1: blendMode = 'avg'
11.3104 	EXP 	window1: blendMode = 'avg'
11.3269 	EXP 	window1: blendMode = 'avg'
11.3271 	EXP 	window1: blendMode = 'avg'
11.3436 	EXP 	window1: blendMode = 'avg'
11.3438 	EXP 	window1: blendMode = 'avg'
11.3603 	EXP 	window1: blendMode = 'avg'
11.3605 	EXP 	window1: blendMode = 'avg'
11.3770 	EXP 	window1: blendMode = 'avg'
11.3772 	EXP 	window1: blendMode = 'avg'
11.3937 	EXP 	window1: blendMode = 'avg'
11.3938 	EXP 	window1: blendMode = 'avg'
11.4104 	EXP 	window1: blendMode = 'avg'
11.4105 	EXP 	window1: blendMode = 'avg'
11.4270 	EXP 	window1: blendMode = 'avg'
11.4272 	EXP 	window1: blendMode = 'avg'
11.4437 	EXP 	window1: blendMode = 'avg'
11.4438 	EXP 	window1: blendMode = 'avg'
11.4603 	EXP 	window1: blendMode = 'avg'
11.4605 	EXP 	window1: blendMode = 'avg'
11.4770 	EXP 	window1: blendMode = 'avg'
11.4772 	EXP 	window1: blendMode = 'avg'
11.4936 	EXP 	window1: blendMode = 'avg'
11.4938 	EXP 	window1: blendMode = 'avg'
11.5102 	EXP 	window1: blendMode = 'avg'
11.5104 	EXP 	window1: blendMode = 'avg'
11.5269 	EXP 	window1: blendMode = 'avg'
11.5271 	EXP 	window1: blendMode = 'avg'
11.5437 	EXP 	window1: blendMode = 'avg'
11.5439 	EXP 	window1: blendMode = 'avg'
11.5603 	EXP 	window1: blendMode = 'avg'
11.5605 	EXP 	window1: blendMode = 'avg'
11.5770 	EXP 	window1: blendMode = 'avg'
11.5772 	EXP 	window1: blendMode = 'avg'
11.5937 	EXP 	window1: blendMode = 'avg'
11.5938 	EXP 	window1: blendMode = 'avg'
11.6103 	EXP 	window1: blendMode = 'avg'
11.6105 	EXP 	window1: blendMode = 'avg'
11.6270 	EXP 	window1: blendMode = 'avg'
11.6271 	EXP 	window1: blendMode = 'avg'
11.6436 	EXP 	window1: blendMode = 'avg'
11.6438 	EXP 	window1: blendMode = 'avg'
11.6602 	EXP 	window1: blendMode = 'avg'
11.6604 	EXP 	window1: blendMode = 'avg'
11.6770 	EXP 	window1: blendMode = 'avg'
11.6771 	EXP 	window1: blendMode = 'avg'
11.6936 	EXP 	window1: blendMode = 'avg'
11.6938 	EXP 	window1: blendMode = 'avg'
11.7103 	EXP 	window1: blendMode = 'avg'
11.7105 	EXP 	window1: blendMode = 'avg'
11.7271 	EXP 	window1: blendMode = 'avg'
11.7273 	EXP 	window1: blendMode = 'avg'
11.7436 	EXP 	window1: blendMode = 'avg'
11.7438 	EXP 	window1: blendMode = 'avg'
11.7603 	EXP 	window1: blendMode = 'avg'
11.7605 	EXP 	window1: blendMode = 'avg'
11.7770 	EXP 	window1: blendMode = 'avg'
11.7772 	EXP 	window1: blendMode = 'avg'
11.7937 	EXP 	window1: blendMode = 'avg'
