1.1486 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
8.1081 	EXP 	window1: blendMode = 'avg'
8.1247 	EXP 	window1: blendMode = 'avg'
8.1415 	EXP 	window1: blendMode = 'avg'
8.1582 	EXP 	window1: blendMode = 'avg'
8.1749 	EXP 	window1: blendMode = 'avg'
8.1916 	EXP 	window1: blendMode = 'avg'
8.2083 	EXP 	window1: blendMode = 'avg'
8.2248 	EXP 	window1: blendMode = 'avg'
8.2414 	EXP 	window1: blendMode = 'avg'
8.2582 	EXP 	window1: blendMode = 'avg'
8.2748 	EXP 	window1: blendMode = 'avg'
8.2914 	EXP 	window1: blendMode = 'avg'
8.3081 	EXP 	window1: blendMode = 'avg'
8.3248 	EXP 	window1: blendMode = 'avg'
8.3415 	EXP 	window1: blendMode = 'avg'
8.3583 	EXP 	window1: blendMode = 'avg'
8.3749 	EXP 	window1: blendMode = 'avg'
8.3915 	EXP 	window1: blendMode = 'avg'
8.4082 	EXP 	window1: blendMode = 'avg'
8.4248 	EXP 	window1: blendMode = 'avg'
8.4414 	EXP 	window1: blendMode = 'avg'
8.4581 	EXP 	window1: blendMode = 'avg'
8.4747 	EXP 	window1: blendMode = 'avg'
8.4914 	EXP 	window1: blendMode = 'avg'
8.5080 	EXP 	window1: blendMode = 'avg'
8.5247 	EXP 	window1: blendMode = 'avg'
8.5414 	EXP 	window1: blendMode = 'avg'
8.5580 	EXP 	window1: blendMode = 'avg'
8.5747 	EXP 	window1: blendMode = 'avg'
8.5914 	EXP 	window1: blendMode = 'avg'
8.6081 	EXP 	window1: blendMode = 'avg'
8.6247 	EXP 	window1: blendMode = 'avg'
8.6414 	EXP 	window1: blendMode = 'avg'
8.6581 	EXP 	window1: blendMode = 'avg'
8.6747 	EXP 	window1: blendMode = 'avg'
8.6914 	EXP 	window1: blendMode = 'avg'
8.7080 	EXP 	window1: blendMode = 'avg'
8.7246 	EXP 	window1: blendMode = 'avg'
8.7413 	EXP 	window1: blendMode = 'avg'
8.7580 	EXP 	window1: blendMode = 'avg'
8.7747 	EXP 	window1: blendMode = 'avg'
8.7914 	EXP 	window1: blendMode = 'avg'
8.8080 	EXP 	window1: blendMode = 'avg'
8.8247 	EXP 	window1: blendMode = 'avg'
8.8414 	EXP 	window1: blendMode = 'avg'
8.8580 	EXP 	window1: blendMode = 'avg'
8.8747 	EXP 	window1: blendMode = 'avg'
8.8913 	EXP 	window1: blendMode = 'avg'
8.9080 	EXP 	window1: blendMode = 'avg'
8.9247 	EXP 	window1: blendMode = 'avg'
8.9414 	EXP 	window1: blendMode = 'avg'
8.9581 	EXP 	window1: blendMode = 'avg'
8.9747 	EXP 	window1: blendMode = 'avg'
8.9913 	EXP 	window1: blendMode = 'avg'
9.0081 	EXP 	window1: blendMode = 'avg'
9.0247 	EXP 	window1: blendMode = 'avg'
9.0414 	EXP 	window1: blendMode = 'avg'
9.0581 	EXP 	window1: blendMode = 'avg'
9.0749 	EXP 	window1: blendMode = 'avg'
9.0914 	EXP 	window1: blendMode = 'avg'
9.1081 	EXP 	window1: blendMode = 'avg'
9.1247 	EXP 	window1: blendMode = 'avg'
9.1414 	EXP 	window1: blendMode = 'avg'
9.1580 	EXP 	window1: blendMode = 'avg'
9.1747 	EXP 	window1: blendMode = 'avg'
9.1914 	EXP 	window1: blendMode = 'avg'
9.2080 	EXP 	window1: blendMode = 'avg'
9.2247 	EXP 	window1: blendMode = 'avg'
9.2414 	EXP 	window1: blendMode = 'avg'
9.2581 	EXP 	window1: blendMode = 'avg'
9.2747 	EXP 	window1: blendMode = 'avg'
9.2914 	EXP 	window1: blendMode = 'avg'
9.3080 	EXP 	window1: blendMode = 'avg'
9.3247 	EXP 	window1: blendMode = 'avg'
9.3415 	EXP 	window1: blendMode = 'avg'
9.3581 	EXP 	window1: blendMode = 'avg'
9.3747 	EXP 	window1: blendMode = 'avg'
9.3914 	EXP 	window1: blendMode = 'avg'
9.4080 	EXP 	window1: blendMode = 'avg'
9.4247 	EXP 	window1: blendMode = 'avg'
9.4414 	EXP 	window1: blendMode = 'avg'
9.4581 	EXP 	window1: blendMode = 'avg'
9.4747 	EXP 	window1: blendMode = 'avg'
9.4913 	EXP 	window1: blendMode = 'avg'
9.5081 	EXP 	window1: blendMode = 'avg'
9.5248 	EXP 	window1: blendMode = 'avg'
9.5414 	EXP 	window1: blendMode = 'avg'
9.5581 	EXP 	window1: blendMode = 'avg'
9.5748 	EXP 	window1: blendMode = 'avg'
9.5914 	EXP 	window1: blendMode = 'avg'
9.6081 	EXP 	window1: blendMode = 'avg'
9.6248 	EXP 	window1: blendMode = 'avg'
9.6414 	EXP 	window1: blendMode = 'avg'
9.6581 	EXP 	window1: blendMode = 'avg'
9.6748 	EXP 	window1: blendMode = 'avg'
9.6914 	EXP 	window1: blendMode = 'avg'
9.7081 	EXP 	window1: blendMode = 'avg'
9.7248 	EXP 	window1: blendMode = 'avg'
9.7414 	EXP 	window1: blendMode = 'avg'
9.7581 	EXP 	window1: blendMode = 'avg'
9.7748 	EXP 	window1: blendMode = 'avg'
9.7914 	EXP 	window1: blendMode = 'avg'
9.8081 	EXP 	window1: blendMode = 'avg'
9.8248 	EXP 	window1: blendMode = 'avg'
9.8414 	EXP 	window1: blendMode = 'avg'
9.8581 	EXP 	window1: blendMode = 'avg'
9.8748 	EXP 	window1: blendMode = 'avg'
9.8914 	EXP 	window1: blendMode = 'avg'
9.9080 	EXP 	window1: blendMode = 'avg'
9.9247 	EXP 	window1: blendMode = 'avg'
9.9414 	EXP 	window1: blendMode = 'avg'
9.9581 	EXP 	window1: blendMode = 'avg'
9.9748 	EXP 	window1: blendMode = 'avg'
9.9914 	EXP 	window1: blendMode = 'avg'
10.0081 	EXP 	window1: blendMode = 'avg'
10.0247 	DATA 	Keypress: space
10.0347 	EXP 	Imported fruit.xlsx as conditions, 4 conditions, 1 params
10.0350 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
10.0352 	EXP 	New trial (rep=0, index=0): {'fruit': u'Pear'}
10.0439 	EXP 	Imported colours.xlsx as conditions, 4 conditions, 2 params
10.0441 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
10.0444 	EXP 	New trial (rep=0, index=0): {'colour': u'yellow', 'colour_text': u'Yellow'}
10.0516 	EXP 	window1: blendMode = 'avg'
10.0519 	EXP 	window1: blendMode = 'avg'
10.0578 	EXP 	text: autoDraw = False
10.0578 	EXP 	colour_text_obj: color = u'yellow (named)'
10.0578 	EXP 	colour_text_obj: text = u'Yellow'
10.0578 	EXP 	colour_title: autoDraw = True
10.0578 	EXP 	colour_text_obj: autoDraw = True
10.0581 	EXP 	window1: blendMode = 'avg'
10.0583 	EXP 	window1: blendMode = 'avg'
10.0747 	EXP 	window1: blendMode = 'avg'
10.0749 	EXP 	window1: blendMode = 'avg'
10.0915 	EXP 	window1: blendMode = 'avg'
10.0917 	EXP 	window1: blendMode = 'avg'
10.1081 	EXP 	window1: blendMode = 'avg'
10.1082 	EXP 	window1: blendMode = 'avg'
10.1248 	EXP 	window1: blendMode = 'avg'
10.1250 	EXP 	window1: blendMode = 'avg'
10.1414 	EXP 	window1: blendMode = 'avg'
10.1416 	EXP 	window1: blendMode = 'avg'
10.1581 	EXP 	window1: blendMode = 'avg'
10.1583 	EXP 	window1: blendMode = 'avg'
10.1747 	EXP 	window1: blendMode = 'avg'
10.1749 	EXP 	window1: blendMode = 'avg'
10.1914 	EXP 	window1: blendMode = 'avg'
10.1915 	EXP 	window1: blendMode = 'avg'
10.2081 	EXP 	window1: blendMode = 'avg'
10.2083 	EXP 	window1: blendMode = 'avg'
10.2248 	EXP 	window1: blendMode = 'avg'
10.2249 	EXP 	window1: blendMode = 'avg'
10.2415 	EXP 	window1: blendMode = 'avg'
10.2416 	EXP 	window1: blendMode = 'avg'
10.2581 	EXP 	window1: blendMode = 'avg'
10.2583 	EXP 	window1: blendMode = 'avg'
10.2748 	EXP 	window1: blendMode = 'avg'
10.2749 	EXP 	window1: blendMode = 'avg'
10.2914 	EXP 	window1: blendMode = 'avg'
10.2916 	EXP 	window1: blendMode = 'avg'
10.3081 	EXP 	window1: blendMode = 'avg'
10.3082 	EXP 	window1: blendMode = 'avg'
10.3247 	EXP 	window1: blendMode = 'avg'
10.3249 	EXP 	window1: blendMode = 'avg'
10.3414 	EXP 	window1: blendMode = 'avg'
10.3416 	EXP 	window1: blendMode = 'avg'
10.3581 	EXP 	window1: blendMode = 'avg'
10.3583 	EXP 	window1: blendMode = 'avg'
10.3748 	EXP 	window1: blendMode = 'avg'
10.3750 	EXP 	window1: blendMode = 'avg'
10.3914 	EXP 	window1: blendMode = 'avg'
10.3916 	EXP 	window1: blendMode = 'avg'
10.4081 	EXP 	window1: blendMode = 'avg'
10.4083 	EXP 	window1: blendMode = 'avg'
10.4248 	EXP 	window1: blendMode = 'avg'
10.4249 	EXP 	window1: blendMode = 'avg'
10.4414 	EXP 	window1: blendMode = 'avg'
10.4416 	EXP 	window1: blendMode = 'avg'
10.4581 	EXP 	window1: blendMode = 'avg'
10.4583 	EXP 	window1: blendMode = 'avg'
10.4748 	EXP 	window1: blendMode = 'avg'
10.4749 	EXP 	window1: blendMode = 'avg'
10.4914 	EXP 	window1: blendMode = 'avg'
10.4916 	EXP 	window1: blendMode = 'avg'
10.5081 	EXP 	window1: blendMode = 'avg'
10.5083 	EXP 	window1: blendMode = 'avg'
10.5247 	EXP 	window1: blendMode = 'avg'
10.5249 	EXP 	window1: blendMode = 'avg'
10.5414 	EXP 	window1: blendMode = 'avg'
10.5416 	EXP 	window1: blendMode = 'avg'
10.5581 	EXP 	window1: blendMode = 'avg'
10.5583 	EXP 	window1: blendMode = 'avg'
10.5748 	EXP 	window1: blendMode = 'avg'
10.5749 	EXP 	window1: blendMode = 'avg'
10.5914 	EXP 	window1: blendMode = 'avg'
10.5916 	EXP 	window1: blendMode = 'avg'
10.6081 	EXP 	window1: blendMode = 'avg'
10.6083 	EXP 	window1: blendMode = 'avg'
10.6248 	EXP 	window1: blendMode = 'avg'
10.6249 	EXP 	window1: blendMode = 'avg'
10.6414 	EXP 	window1: blendMode = 'avg'
10.6416 	EXP 	window1: blendMode = 'avg'
10.6581 	EXP 	window1: blendMode = 'avg'
10.6583 	EXP 	window1: blendMode = 'avg'
10.6748 	EXP 	window1: blendMode = 'avg'
10.6749 	EXP 	window1: blendMode = 'avg'
10.6914 	EXP 	window1: blendMode = 'avg'
10.6916 	EXP 	window1: blendMode = 'avg'
10.7081 	EXP 	window1: blendMode = 'avg'
10.7082 	EXP 	window1: blendMode = 'avg'
10.7248 	EXP 	window1: blendMode = 'avg'
10.7249 	EXP 	window1: blendMode = 'avg'
10.7414 	EXP 	window1: blendMode = 'avg'
10.7416 	EXP 	window1: blendMode = 'avg'
10.7581 	EXP 	window1: blendMode = 'avg'
10.7583 	EXP 	window1: blendMode = 'avg'
10.7748 	EXP 	window1: blendMode = 'avg'
10.7749 	EXP 	window1: blendMode = 'avg'
10.7914 	EXP 	window1: blendMode = 'avg'
10.7916 	EXP 	window1: blendMode = 'avg'
