1.0837 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
8.1629 	EXP 	window1: blendMode = 'avg'
8.1798 	EXP 	window1: blendMode = 'avg'
8.1963 	EXP 	window1: blendMode = 'avg'
8.2129 	EXP 	window1: blendMode = 'avg'
8.2296 	EXP 	window1: blendMode = 'avg'
8.2463 	EXP 	window1: blendMode = 'avg'
8.2630 	EXP 	window1: blendMode = 'avg'
8.2796 	EXP 	window1: blendMode = 'avg'
8.2962 	EXP 	window1: blendMode = 'avg'
8.3130 	EXP 	window1: blendMode = 'avg'
8.3296 	EXP 	window1: blendMode = 'avg'
8.3463 	EXP 	window1: blendMode = 'avg'
8.3630 	EXP 	window1: blendMode = 'avg'
8.3796 	EXP 	window1: blendMode = 'avg'
8.3962 	EXP 	window1: blendMode = 'avg'
8.4130 	EXP 	window1: blendMode = 'avg'
8.4296 	EXP 	window1: blendMode = 'avg'
8.4463 	EXP 	window1: blendMode = 'avg'
8.4629 	EXP 	window1: blendMode = 'avg'
8.4796 	EXP 	window1: blendMode = 'avg'
8.4962 	DATA 	Keypress: space
8.4966 	EXP 	New trial (rep=0, index=3): {'number_two': 6, 'number_one': 4}
8.5019 	EXP 	window1: blendMode = 'avg'
8.5127 	EXP 	text_2: autoDraw = False
8.5127 	EXP 	text_2: text = '4+6=10'
8.5127 	EXP 	text_2: autoDraw = True
8.5130 	EXP 	window1: blendMode = 'avg'
8.5296 	EXP 	window1: blendMode = 'avg'
8.5463 	EXP 	window1: blendMode = 'avg'
8.5630 	EXP 	window1: blendMode = 'avg'
8.5796 	EXP 	window1: blendMode = 'avg'
8.5963 	EXP 	window1: blendMode = 'avg'
8.6129 	EXP 	window1: blendMode = 'avg'
8.6296 	EXP 	window1: blendMode = 'avg'
8.6463 	EXP 	window1: blendMode = 'avg'
8.6629 	EXP 	window1: blendMode = 'avg'
8.6796 	EXP 	window1: blendMode = 'avg'
8.6962 	EXP 	window1: blendMode = 'avg'
8.7130 	EXP 	window1: blendMode = 'avg'
8.7296 	EXP 	window1: blendMode = 'avg'
8.7463 	EXP 	window1: blendMode = 'avg'
8.7629 	EXP 	window1: blendMode = 'avg'
8.7796 	EXP 	window1: blendMode = 'avg'
8.7963 	EXP 	window1: blendMode = 'avg'
8.8129 	DATA 	Keypress: space
8.8132 	EXP 	New trial (rep=0, index=4): {'number_two': 2, 'number_one': 2}
8.8181 	EXP 	window1: blendMode = 'avg'
8.8294 	EXP 	text_2: autoDraw = False
8.8294 	EXP 	text_2: text = '2+2=4'
8.8294 	EXP 	text_2: autoDraw = True
8.8297 	EXP 	window1: blendMode = 'avg'
8.8463 	EXP 	window1: blendMode = 'avg'
